item,itemID,type,choices,complexity_category,definition,gloss
tornapa,item_263,FOOD AND DRINK,produces; doesn't produce,,tornapa,turnip
turnip,item_264,FOOD AND DRINK,produces; doesn't produce,,turnip,turnip
tósta,item_265,FOOD AND DRINK,produces; doesn't produce,,tósta,toast
toast,item_266,FOOD AND DRINK,produces; doesn't produce,,toast,toast
tráta,item_267,FOOD AND DRINK,produces; doesn't produce,,tráta,tomato
tomato,item_268,FOOD AND DRINK,produces; doesn't produce,,tomato,tomato
uachtarreoite,item_269,FOOD AND DRINK,produces; doesn't produce,,uachtarreoite,icecream
icecream,item_270,FOOD AND DRINK,produces; doesn't produce,,icecream,icecream
ubh,item_271,FOOD AND DRINK,produces; doesn't produce,,ubh_gogaí,egg
egg,item_272,FOOD AND DRINK,produces; doesn't produce,,egg,egg
uisce,item_273,FOOD AND DRINK,produces; doesn't produce,,uisce,water
water,item_274,FOOD AND DRINK,produces; doesn't produce,,water,water
úll,item_275,FOOD AND DRINK,produces; doesn't produce,,úll,apple
apple,item_276,FOOD AND DRINK,produces; doesn't produce,,apple,apple
bibe,item_277,CLOTHES,produces; doesn't produce,,bibe_beannóg,bib
bib,item_278,CLOTHES,produces; doesn't produce,,bib,bib
bríste,item_279,CLOTHES,produces; doesn't produce,,bríste_treabhsar,trousers
trousers,item_280,CLOTHES,produces; doesn't produce,,trousers,trousers
brístegearra,item_281,CLOTHES,produces; doesn't produce,,brístegearra,shorts
shorts,item_282,CLOTHES,produces; doesn't produce,,shorts,shorts
bróga,item_283,CLOTHES,produces; doesn't produce,,bróga,shoes
shoes,item_284,CLOTHES,produces; doesn't produce,,shoes,shoes
brógareatha,item_285,CLOTHES,produces; doesn't produce,,brógareatha,runners
runners,item_286,CLOTHES,produces; doesn't produce,,runners,runners
buataisí,item_287,CLOTHES,produces; doesn't produce,,buataisí,boots
boots,item_288,CLOTHES,produces; doesn't produce,,boots_wellies,boots
caipín,item_289,CLOTHES,produces; doesn't produce,,caipín,cap
cap,item_290,CLOTHES,produces; doesn't produce,,cap,cap
cardigan,item_291,CLOTHES,produces; doesn't produce,,cardigan_cairdeagan_ie,cardigan
clúidín,item_292,CLOTHES,produces; doesn't produce,,clúidín,nappy
nappy,item_293,CLOTHES,produces; doesn't produce,,nappy,nappy
cnaipe,item_294,CLOTHES,produces; doesn't produce,,cnaipe,button
button,item_295,CLOTHES,produces; doesn't produce,,button,button
cóta,item_296,CLOTHES,produces; doesn't produce,,cóta,coat
coat,item_297,CLOTHES,produces; doesn't produce,,coat,coat
crios,item_298,CLOTHES,produces; doesn't produce,,crios,belt
belt,item_299,CLOTHES,produces; doesn't produce,,belt,belt
culaithleapa,item_300,CLOTHES,produces; doesn't produce,,culaithleapa,pijamas
pijamas,item_301,CLOTHES,produces; doesn't produce,,pijamas,pijamas
